,0,1,2,3,4,5,6,7,8,9,10
82,79,10.04,0,Shaun MASWANGANYI,1-Feb-01,RSA,1h3,,"Cushing Stadium (Texas A&M), College Station, TX (USA)",29-May-21,1193
83,79,10.04,0.6,Oblique SEVILLE,16-Mar-01,JAM,3,,"National Stadium, Kingston (JAM)",25-Jun-21,1193
84,79,10.04,1.2,Tyquendo TRACEY,10-Jun-93,JAM,2sf1,,"National Stadium, Kingston (JAM)",25-Jun-21,1193
85,79,10.04,1.2,Isiah YOUNG,5-Jan-90,USA,4,,"Bregyó Athletic Center, Székesfehérvár (HUN)",6-Jul-21,1193
86,86,10.05,0.6,Bingtian SU,29-Aug-89,CHN,1f4,,Shenzhen (CHN),20-Mar-21,1189
87,86,10.05,1,Rohan BROWNING,31-Dec-97,AUS,1,,"QSAC, Nathan, Brisbane (AUS)",27-Mar-21,1189
88,86,10.05,1.5,André DE GRASSE,10-Nov-94,CAN,2,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30-Apr-21,1189
89,86,10.05,1.5,Divine ODUDURU,7-Oct-96,NGR,3,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30-Apr-21,1189
90,86,10.05,1.9,Yohan BLAKE,26-Dec-89,JAM,1f5,,"GC Foster College, Spanish Town (JAM)",8-May-21,1189
91,86,10.05,1.4,Davonte BURNETT,27-Feb-00,USA,1,,"Katherine B. Loker Stadium, Los Angeles, CA (USA)",16-May-21,1189
92,86,10.05,0.2,Noah LYLES,18-Jul-97,USA,2f1,,"National Training Center, Clermont, FL (USA)",30-May-21,1189
93,86,10.05,0.4,Terrance LAIRD,12-Oct-98,USA,1,,"Hayward Field, Eugene, OR (USA)",11-Jun-21,1189
94,86,10.05,1.5,Mark Otieno ODHIAMBO,11-May-93,KEN,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",17-Jun-21,1189
95,86,10.05,2,Kyree KING,9-Jul-94,USA,3h3,,"Hayward Field, Eugene, OR (USA)",19-Jun-21,1189
96,86,10.05,0.8,Noah LYLES,18-Jul-97,USA,7,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1189
97,86,10.05,1,Davonte BURNETT,27-Feb-00,USA,h3,,"National Stadium, Kingston (JAM)",24-Jun-21,1189
98,86,10.05,-0.4,Chijindu UJAH,5-Mar-94,GBR,1,,"Sportcity Regional Arena, Manchester (GBR)",26-Jun-21,1191
99,86,10.05,-0.8,Lamont Marcell JACOBS,26-Sep-94,ITA,2,,"Olympiastadion, Stockholm (SWE)",4-Jul-21,1193
100,100,10.06,1.7,Fred KERLEY,7-May-95,USA,1h1,,"National Training Center, Clermont, FL (USA)",4-Apr-21,1186
101,,,,,,,,,,,
102,100,10.06,1.7,Terrance LAIRD,12-Oct-98,USA,1f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",17-Apr-21,1186
103,100,10.06,1.6,Ferdinand Omanyala OMURWA,3-Aug-96,KEN,1f2,,"Bestmed Tuks Stadium, Pretoria (RSA)",22-May-21,1186
104,100,10.06,1.6,Joseph Paul AMOAH,12-Jan-97,GHA,1h2,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",28-May-21,1186
105,100,10.06,1,Enoch ADEGOKE,8-Mar-00,NGR,1sf2,,"Yabatech Sport Complex, Lagos (NGR)",17-Jun-21,1186
106,100,10.06,0.2,Lamont Marcell JACOBS,26-Sep-94,ITA,1,,"Stadion Śląski, Chorzów (POL)",20-Jun-21,1186
107,100,10.06,0.1,Guanfeng CHEN,5-Feb-00,CHN,1,,Chongqing (CHN),24-Jun-21,1186
108,100,10.06,-0.1,Zharnel HUGHES,13-Jul-95,GBR,1sf1,,"Sportcity Regional Arena, Manchester (GBR)",26-Jun-21,1186
109,108,10.07,2,Paulo André CAMILO DE OLIVEIRA,20-Aug-98,BRA,1f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",10-Apr-21,1182
110,108,10.07,2,Julian FORTE,7-Jan-93,JAM,4f1,,"Tropical Park Track, Miami, FL (USA)",24-Apr-21,1182
111,108,10.07,1.6,Benjamin AZAMATI-KWAKU,14-Jan-98,GHA,1,,"WTAMU T&Fi Complex, Canyon, TX (USA)",8-May-21,1182
112,108,10.07,0.8,Emmanuel MATADI,15-Apr-91,LBR,1,,"Stadion Juliska, Praha (CZE)",7-Jun-21,1182
113,108,10.07,1.2,Usheoritse ITSEKIRI,31-Jan-98,NGR,2,,"Yabatech Sport Complex, Lagos (NGR)",17-Jun-21,1182
114,108,10.07,-0.3,Kenneth BEDNAREK,14-Oct-98,USA,1h1,,"Hayward Field, Eugene, OR (USA)",19-Jun-21,1183
115,108,10.07,0.6,Julian FORTE,7-Jan-93,JAM,4,,"National Stadium, Kingston (JAM)",25-Jun-21,1182
116,115,10.08,1.9,Aaron BROWN,27-May-92,CAN,5f2,,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1179
117,115,10.08,2,Marvin BRACY,15-Dec-93,USA,3h2,,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1179
118,115,10.08,1.4,Noah LYLES,18-Jul-97,USA,4f1,,"Percy Beard Track (Un. of Florida), Gainesville, FL (USA)",17-Apr-21,1179
119,115,10.08,1.4,Justin GATLIN,10-Feb-82,USA,2f1,,"Mestský Stadion, Ostrava (CZE)",19-May-21,1179
120,115,10.08,1.6,Javonte' HARDING,,USA,2h2,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",28-May-21,1179
121,115,10.08,1.6,Lance LANG,,USA,2h2,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",28-May-21,1179
122,115,10.08,1.5,Chris ROYSTER,24-Jan-92,USA,3f2,,"Ansin Sports Complex, Miramar, FL (USA)",5-Jun-21,1179
123,115,10.08,-0.1,Akani SIMBINE,21-Sep-93,RSA,1,,"Stadio Luigi Ridolfi, Firenze (ITA)",10-Jun-21,1179
124,115,10.08,-0.3,Isiah YOUNG,5-Jan-90,USA,2h1,,"Hayward Field, Eugene, OR (USA)",19-Jun-21,1180
125,115,10.08,-0.3,Isiah YOUNG,5-Jan-90,USA,6sf1,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1180
126,115,10.08,0.9,Julian FORTE,7-Jan-93,JAM,1h4,,"National Stadium, Kingston (JAM)",24-Jun-21,1179
127,115,10.08,0.9,Oblique SEVILLE,16-Mar-01,JAM,1h4,,"National Stadium, Kingston (JAM)",24-Jun-21,1179
128,127,10.09,1.9,Marvin BRACY,15-Dec-93,USA,6f2,,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1176
129,127,10.09,0.8,Ameer WEBB,19-Mar-91,USA,1h1,,"Cougar Athletic Stadium, Azusa, CA (USA)",16-Apr-21,1176
130,127,10.09,0.4,Rohan BROWNING,31-Dec-97,AUS,1,,"SOPAC, Sydney (AUS)",17-Apr-21,1176
131,127,10.09,0.3,Isiah YOUNG,5-Jan-90,USA,1h1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",9-May-21,1176
132,127,10.09,1.6,Nolton SHELVIN,,USA,1,,"Texan Track & Field Complex, Levelland, TX (USA)",13-May-21,1176
133,127,10.09,1.4,Micah WILLIAMS,12-Nov-01,USA,2,,"Katherine B. Loker Stadium, Los Angeles, CA (USA)",16-May-21,1176
134,127,10.09,1.6,Ismael KONE,,USA,4h2,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",28-May-21,1176
135,127,10.09,0.2,Jaylen SLADE,Oct-03,USA,3f1,,"National Training Center, Clermont, FL (USA)",30-May-21,1176
136,127,10.09,1.3,Yohan BLAKE,26-Dec-89,JAM,2,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",31-May-21,1176
137,127,10.09,0.8,Alonso EDWARD,8-Dec-89,PAN,2,,"Stadion Juliska, Praha (CZE)",7-Jun-21,1176
138,127,10.09,0,Paulo André CAMILO DE OLIVEIRA,20-Aug-98,BRA,1h2,,"COTP Stadium, São Paulo (BRA)",10-Jun-21,1176
139,127,10.09,0.4,Shaun MASWANGANYI,1-Feb-01,RSA,2,,"Hayward Field, Eugene, OR (USA)",11-Jun-21,1176
140,127,10.09,-1.7,Paulo André CAMILO DE OLIVEIRA,20-Aug-98,BRA,1,,"COTP Stadium, São Paulo (BRA)",11-Jun-21,1186
141,127,10.09,1.4,Michael RODGERS,24-Apr-85,USA,1sr,,"Parc des Sports C. Ehrmann, Nice (FRA)",12-Jun-21,1176
142,141,10.1,1.6,Cravont CHARLESTON,2-Jan-98,USA,1,,"Paul Derr TF Facility, Raleigh, NC (USA)",27-Mar-21,1172
143,141,10.1,1.4,Bryce ROBINSON,13-Nov-93,USA,2,,"Mike A. Myers Stadium, Austin, TX (USA)",27-Mar-21,1172
144,141,10.1,1.6,Paulo André CAMILO DE OLIVEIRA,20-Aug-98,BRA,1,,"CVEATC, Chula Vista, CA (USA)",3-Apr-21,1172
