,0,1,2,3,4,5,6,7,8,9,10
100,96,9.96,0.0,Wallace SPEARMON,24 DEC 1984,USA,1,,Shanghai (CHN),28 SEP 2007,1220
101,,,,,,,,,,,
102,96,9.96,+1.4,Harry ADAMS,27 NOV 1989,USA,1h2,,"Des Moines, IA (USA)",06 JUN 2012,1220
103,96,9.96,-0.4,Dentarius LOCKE,12 DEC 1989,USA,2,,"Stade Louis II, Monaco (MON)",19 JUL 2013,1222
104,96,9.96,+1.4,Chijindu UJAH,05 MAR 1994,GBR,2,,"Blankers-Koen Stadion, Hengelo (NED)",08 JUN 2014,1220
105,96,9.96,+1.3,Quentin BUTLER,18 SEP 1992,USA,2h4,,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1220
106,96,9.96,+1.6,Senoj-Jay GIVANS,30 DEC 1993,JAM,1sf3,,"Eugene, OR (USA)",08 JUN 2016,1220
107,96,9.96,+2.0,Aaron BROWN,27 MAY 1992,CAN,1h1,,"Montverde, FL (USA)",11 JUN 2016,1220
108,96,9.96,+2.0,Joel FEARON,11 OCT 1988,GBR,1,,Bedford (GBR),30 JUL 2016,1220
109,96,9.96,+0.2,Ben Youssef MEITÉ,11 NOV 1986,CIV,6,,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1220
110,96,9.96,+0.2,Tyquendo TRACEY,10 JUN 1993,JAM,4h2,,"Olympic Stadium, London (GBR)",21 JUL 2018,1220
111,96,9.96,+1.6,Raymond EKEVWO,23 MAR 1999,NGR,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",27 AUG 2019,1220
112,111,9.97,+0.2,Dwain CHAMBERS,05 APR 1978,GBR,3,,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1217
113,111,9.97,+0.6,Uchenna EMEDOLU,17 SEP 1976,NGR,2,,Abuja (NGR),12 OCT 2003,1217
114,111,9.97,+1.3,Rakieem SALAAM,05 APR 1990,USA,2,,"Des Moines, IA (USA)",10 JUN 2011,1217
115,111,9.97,+2.0,Adam GEMILI,06 OCT 1993,GBR,2,,"Alexander Stadium, Birmingham (GBR)",07 JUN 2015,1217
116,111,9.97,+0.8,Henrico BRUINTJIES,16 JUL 1993,RSA,1h1,,La Chaux-de-Fonds (SUI),05 JUL 2015,1217
117,111,9.97,+1.5,Ramil GULIYEV,29 MAY 1990,TUR,1,,Bursa (TUR),06 JUL 2017,1217
118,111,9.97,+0.9,Jaylen BACON,05 AUG 1996,USA,1qf3,,"Sacramento, CA (USA)",25 MAY 2018,1217
119,111,9.97,+0.9,Zhenye XIE,17 AUG 1993,CHN,1f1,,Montreuil (FRA),19 JUN 2018,1217
120,111,9.97,+1.7,Barakat AL HARTHI,15 JUN 1988,OMA,1,,Amman (JOR),09 JUL 2018,1217
121,111,9.97,+0.8,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,3,,"Austin, TX (USA)",07 JUN 2019,1217
122,111,9.97,+1.5,Benjamin AZAMATI-KWAKU,14 JAN 1998,GHA,1h8,,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2021,1217
123,111,9.97,+1.9,Kyree KING,09 JUL 1994,USA,1f2,,"Ansin Sports Complex, Miramar, FL (USA)",10 APR 2021,1217
124,123,9.98,+0.6,Silvio LEONARD,20 SEP 1955,CUB,1,,Guadalajara (MEX),11 AUG 1977,1213
125,123,9.98,+0.3,Daniel EFFIONG,17 JUN 1972,NGR,2sf1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1213
126,123,9.98,+1.4,Percival SPENCER,24 FEB 1975,JAM,1,,Kingston (JAM),19 JUN 1997,1213
127,123,9.98,+1.6,Leonard MYLES-MILLS,05 SEP 1973,GHA,1,,"Boise, ID (USA)",05 JUN 1999,1213
128,123,9.98,+0.4,Jason GARDENER,18 SEP 1975,GBR,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1213
129,123,9.98,+0.4,Coby MILLER,19 OCT 1976,USA,sf,,"Durham, NC (USA)",02 JUN 2000,1213
130,123,9.98,+1.9,Gabriel MVUMVURE,23 FEB 1988,ZIM,1f1,,"Montverde, FL (USA)",08 JUN 2013,1213
131,123,9.98,+1.1,Charles SILMON,04 JUL 1991,USA,2,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2013,1213
132,123,9.98,+1.4,Simon MAGAKWE,14 MAY 1986,RSA,1,,Pretoria (RSA),12 APR 2014,1213
133,123,9.98,+2.0,Odean SKEEN,28 AUG 1994,JAM,1h4,,"Auburn, AL (USA)",22 APR 2017,1213
134,123,9.98,+1.8,Yoshihide KIRYU,15 DEC 1995,JPN,1,,Fukui (JPN),09 SEP 2017,1213
135,123,9.98,+1.9,Andre EWERS,07 JUN 1995,JAM,1qf3,,"Tampa, FL (USA)",25 MAY 2018,1213
136,123,9.98,+1.0,Roberto SKYERS,12 NOV 1991,CUB,1f1,,Camagüey (CUB),22 FEB 2019,1213
137,123,9.98,+1.3,Mario BURKE,18 MAR 1997,BAR,1sf2,,"Austin, TX (USA)",05 JUN 2019,1213
138,123,9.98,+0.5,Yuki KOIKE,13 MAY 1995,JPN,4,,"Olympic Stadium, London (GBR)",20 JUL 2019,1213
139,138,9.99,+0.5,Brian LEWIS,05 DEC 1974,USA,1,,Cayenne (GUY),04 MAY 2002,1210
