,0,1,2,3,4,5,6,7,8,9,10
63,56,9.82,+0.1,Yohan BLAKE,26 DEC 1989,JAM,1,,"Olympiastadion, Berlin (GER)",11 SEP 2011,1269
64,56,9.82,+1.8,Usain BOLT,21 AUG 1986,JAM,1f1,,"National Stadium, Kingston (JAM)",05 MAY 2012,1269
65,56,9.82,+0.7,Justin GATLIN,10 FEB 1982,USA,1sf1,,"Olympic Stadium, London (GBR)",05 AUG 2012,1269
66,56,9.82,+1.7,Richard THOMPSON,07 JUN 1985,TTO,1f2,,Port-of-Spain (TTO),21 JUN 2014,1269
67,56,9.82,-0.1,Justin GATLIN,10 FEB 1982,USA,1,,Linz (AUT),14 JUL 2014,1269
68,56,9.82,+1.3,Christian COLEMAN,06 MAR 1996,USA,1sf1,,"Eugene, OR (USA)",07 JUN 2017,1269
69,69,9.83,-0.3,Asafa POWELL,23 NOV 1982,JAM,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 SEP 2007,1267
70,69,9.83,-0.5,Usain BOLT,21 AUG 1986,JAM,1f1,,"Letzigrund, Zürich (SUI)",29 AUG 2008,1269
71,69,9.83,-1.3,Asafa POWELL,23 NOV 1982,JAM,2,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1273
72,69,9.83,-0.5,Asafa POWELL,23 NOV 1982,JAM,1,,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010,1269
73,69,9.83,+0.7,Justin GATLIN,10 FEB 1982,USA,1f2,,"Stadio Guidobaldi, Rieti (ITA)",07 SEP 2014,1266
74,69,9.83,+1.7,Justin GATLIN,10 FEB 1982,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1266
75,75,9.84,+0.7,Donovan BAILEY,16 DEC 1967,CAN,1,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1262
76,75,9.84,+0.2,Bruny SURIN,12 JUL 1967,CAN,2,,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1262
77,75,9.84,+1.8,Asafa POWELL,23 NOV 1982,JAM,1,,Kingston (JAM),07 MAY 2005,1262
78,75,9.84,+1.0,Tyson GAY,09 AUG 1982,USA,2f1,,Zürich (SUI),18 AUG 2006,1262
79,75,9.84,-0.5,Tyson GAY,09 AUG 1982,USA,1,,"Indianapolis, IN (USA)",22 JUN 2007,1265
80,75,9.84,-0.3,Asafa POWELL,23 NOV 1982,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1263
81,75,9.84,+0.9,Asafa POWELL,23 NOV 1982,JAM,3,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1262
82,75,9.84,-0.3,Usain BOLT,21 AUG 1986,JAM,1,,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,1263
83,75,9.84,0.0,Tyson GAY,09 AUG 1982,USA,1,,"Olympiastadion, Stockholm (SWE)",06 AUG 2010,1262
84,75,9.84,+0.5,Yohan BLAKE,26 DEC 1989,JAM,1,,Georgetown (CAY),09 MAY 2012,1262
85,75,9.84,+1.8,Asafa POWELL,23 NOV 1982,JAM,1f1,,"National Stadium, Kingston (JAM)",09 MAY 2015,1262
86,75,9.84,+1.3,Trayvon BROMELL,10 JUL 1995,USA,1h4,,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1262
87,75,9.84,+0.9,Asafa POWELL,23 NOV 1982,JAM,1,,Kingston (JAM),26 JUN 2015,1262
88,75,9.84,+1.6,Trayvon BROMELL,10 JUL 1995,USA,2,,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1262
89,75,9.84,+1.2,Akani SIMBINE,21 SEP 1993,RSA,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1262
90,90,9.85,+1.2,Leroy BURRELL,21 FEB 1967,USA,1f3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1259
91,90,9.85,+0.8,Maurice GREENE,23 JUL 1974,USA,1,,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1259
92,90,9.85,+0.6,Justin GATLIN,10 FEB 1982,USA,1,,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1259
93,90,9.85,+0.6,Asafa POWELL,23 NOV 1982,JAM,1,,Ostrava (CZE),09 JUN 2005,1259
94,90,9.85,+1.7,Olusoji Adetokunbo FASUBA,09 JUL 1984,NGR,1,,Doha (QAT),12 MAY 2006,1259
95,90,9.85,+0.1,Asafa POWELL,23 NOV 1982,JAM,1f1,,Paris (FRA),08 JUL 2006,1259
96,90,9.85,+0.5,Asafa POWELL,23 NOV 1982,JAM,1f1,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1259
97,90,9.85,-0.5,Tyson GAY,09 AUG 1982,USA,1,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1262
98,90,9.85,+1.7,Tyson GAY,09 AUG 1982,USA,2f1,,"Icahn Stadium (Fordham), New York, NY (USA)",31 MAY 2008,1259
99,90,9.85,-0.1,Usain BOLT,21 AUG 1986,JAM,1,,Kingston (JAM),28 JUN 2008,1259
100,90,9.85,-0.1,Usain BOLT,21 AUG 1986,JAM,1sf1,,"National Stadium, Beijing (CHN)",16 AUG 2008,1259
101,,,,,,,,,,,
102,90,9.85,+2.0,Asafa POWELL,23 NOV 1982,JAM,2,,Shanghai (CHN),20 SEP 2009,1259
103,90,9.85,+0.1,Nesta CARTER,11 OCT 1985,JAM,2,,"Boudewijnstadion, Bruxelles (BEL)",27 AUG 2010,1259
104,90,9.85,+1.3,Michael RODGERS,24 APR 1985,USA,2,,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1259
105,90,9.85,+1.0,Richard THOMPSON,07 JUN 1985,TTO,1,,Port-of-Spain (TTO),13 AUG 2011,1259
106,90,9.85,+0.1,Usain BOLT,21 AUG 1986,JAM,1,,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2011,1259
107,90,9.85,+0.6,Asafa POWELL,23 NOV 1982,JAM,2,,"Bislett Stadion, Oslo (NOR)",07 JUN 2012,1259
108,90,9.85,+1.6,Yohan BLAKE,26 DEC 1989,JAM,1f1,,Luzern (SUI),17 JUL 2012,1259
